category,item_name,serving_size_g,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category_clean,chain
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,33.0,9.0,0.0,85,1410,58,3,11,36,burger,mcdonalds
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,20.0,7.0,0.0,105,1250,44,3,9,40,burger,mcdonalds
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,28.0,6.0,0.0,70,1400,57,3,11,32,burger,mcdonalds
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,15.0,4.5,0.0,90,1230,43,3,9,36,burger,mcdonalds
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,38.0,10.0,0.5,90,1720,65,4,16,36,burger,mcdonalds
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,25.0,8.0,0.0,110,1560,51,4,14,40,burger,mcdonalds
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,19.0,3.0,0.0,45,910,43,2,7,21,burger,mcdonalds
Chicken & Fish,McChicken,5.1 oz (143 g),360,16.0,3.0,0.0,35,800,40,2,5,14,burger,mcdonalds
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,24.0,7.0,0.0,65,1260,43,2,6,22,burger,mcdonalds
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,21.0,5.0,0.0,50,1260,41,2,6,20,burger,mcdonalds
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,16.0,3.0,0.0,35,990,40,2,5,14,burger,mcdonalds
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,32.0,9.0,0.5,80,1540,56,3,7,32,burger,mcdonalds
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,19.0,7.0,0.0,95,1370,42,3,6,36,burger,mcdonalds
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,31.0,8.0,0.5,65,1340,56,3,8,27,burger,mcdonalds
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,18.0,6.0,0.5,80,1170,42,3,6,30,burger,mcdonalds
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,33.0,8.0,0.5,60,1480,68,5,12,27,burger,mcdonalds
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,20.0,6.0,0.0,80,1320,55,5,10,31,burger,mcdonalds
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,23.0,4.5,0.0,50,1260,61,3,14,23,burger,mcdonalds
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,10.0,3.0,0.0,65,1090,47,3,12,27,burger,mcdonalds
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190,12.0,2.0,0.0,25,360,12,1,0,9,burger,mcdonalds
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,18.0,3.0,0.0,40,540,18,1,0,13,burger,mcdonalds
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,30.0,5.0,0.0,65,900,30,2,0,22,burger,mcdonalds
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940,59.0,10.0,0.0,135,1800,59,3,0,44,burger,mcdonalds
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),1880,118.0,20.0,1.0,265,3600,118,6,1,87,burger,mcdonalds
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390,19.0,4.0,0.0,40,590,39,2,5,15,burger,mcdonalds
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140,7.0,3.5,0.0,25,300,10,3,4,9,salad,mcdonalds
