chain,category_clean,item_name,serve_size,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,calories_kcal_norm,total_fat_norm,saturated_fat_norm,trans_fat_norm,cholesterol_norm,sodium_norm,carbohydrates_norm,dietary_fiber_norm,sugars_norm,protein_norm
McDondalds,beverage,Shamrock Shake (Large),625.09,ml,820,23.0,15.0,1.0,90.0,260.0,135.0,0.0,115.0,18.0,131.18,3.68,2.4,0.16,14.4,41.59,21.6,0.0,18.4,2.88
burger_king,beverage,Fat FREE Milk (8 fl oz),227.3,ml,90,0.0,0.0,0.0,5.0,125.0,13.0,0.0,12.0,9.0,39.59,0.0,0.0,0.0,2.2,54.99,5.72,0.0,5.28,3.96
burger_king,beverage,1% Low Fat Chocolate Milk (8 fl oz),227.3,ml,160,2.5,1.5,0.0,15.0,150.0,26.0,0.0,25.0,8.0,70.39,1.1,0.66,0.0,6.6,65.99,11.44,0.0,11.0,3.52
burger_king,beverage,Smoothie: Strawberry Banana 16 fl oz,454.61,ml,310,1.0,0.0,0.0,0.0,55.0,71.0,3.0,50.0,4.0,68.19,0.22,0.0,0.0,0.0,12.1,15.62,0.66,11.0,0.88
burger_king,beverage,Oreo® Shake,340.96,ml,720,20.0,12.0,0.5,65.0,540.0,118.0,1.0,98.0,16.0,211.17,5.87,3.52,0.15,19.06,158.38,34.61,0.29,28.74,4.69
burger_king,beverage,Chocolate Oreo® Shake,340.96,ml,740,22.0,13.0,0.5,70.0,680.0,121.0,1.0,101.0,17.0,217.04,6.45,3.81,0.15,20.53,199.44,35.49,0.29,29.62,4.99
burger_king,beverage,Vanilla Milk Shake,340.96,ml,580,15.0,10.0,0.0,60.0,420.0,98.0,0.0,85.0,14.0,170.11,4.4,2.93,0.0,17.6,123.18,28.74,0.0,24.93,4.11
burger_king,beverage,HERSHEY®'S Chocolate Milk Shake,340.96,ml,610,16.0,10.0,0.0,60.0,500.0,103.0,1.0,88.0,14.0,178.91,4.69,2.93,0.0,17.6,146.65,30.21,0.29,25.81,4.11
burger_king,beverage,Strawberry Milk Shake,340.96,ml,640,15.0,10.0,0.0,60.0,440.0,113.0,0.0,99.0,14.0,187.71,4.4,2.93,0.0,17.6,129.05,33.14,0.0,29.04,4.11
burger_king,beverage,Coca Cola classic,454.61,ml,210,0.0,0.0,0.0,0.0,50.0,58.0,0.0,58.0,0.0,46.19,0.0,0.0,0.0,0.0,11.0,12.76,0.0,12.76,0.0
burger_king,beverage,Coca Cola classic,568.26,ml,270,0.0,0.0,0.0,0.0,60.0,73.0,0.0,73.0,0.0,47.51,0.0,0.0,0.0,0.0,10.56,12.85,0.0,12.85,0.0
burger_king,beverage,Coca Cola classic,823.98,ml,390,0.0,0.0,0.0,0.0,85.0,105.0,0.0,105.0,0.0,47.33,0.0,0.0,0.0,0.0,10.32,12.74,0.0,12.74,0.0
burger_king,beverage,Coca Cola classic,1079.7,ml,510,0.0,0.0,0.0,0.0,115.0,138.0,0.0,138.0,0.0,47.24,0.0,0.0,0.0,0.0,10.65,12.78,0.0,12.78,0.0
burger_king,beverage,Diet Coke,454.61,ml,0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Diet Coke,568.26,ml,0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Diet Coke,823.98,ml,0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Diet Coke,1079.7,ml,0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.82,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Sprite,454.61,ml,210,0.0,0.0,0.0,0.0,95.0,56.0,0.0,56.0,0.0,46.19,0.0,0.0,0.0,0.0,20.9,12.32,0.0,12.32,0.0
burger_king,beverage,Sprite,568.26,ml,260,0.0,0.0,0.0,0.0,120.0,70.0,0.0,70.0,0.0,45.75,0.0,0.0,0.0,0.0,21.12,12.32,0.0,12.32,0.0
burger_king,beverage,Sprite,823.98,ml,380,0.0,0.0,0.0,0.0,170.0,102.0,0.0,102.0,0.0,46.12,0.0,0.0,0.0,0.0,20.63,12.38,0.0,12.38,0.0
burger_king,beverage,Sprite,1079.7,ml,500,0.0,0.0,0.0,0.0,230.0,133.0,0.0,133.0,0.0,46.31,0.0,0.0,0.0,0.0,21.3,12.32,0.0,12.32,0.0
burger_king,beverage,Dr. Pepper,454.61,ml,190,0.0,0.0,0.0,0.0,60.0,52.0,0.0,51.0,0.0,41.79,0.0,0.0,0.0,0.0,13.2,11.44,0.0,11.22,0.0
burger_king,beverage,Dr. Pepper,568.26,ml,240,0.0,0.0,0.0,0.0,75.0,65.0,0.0,64.0,0.0,42.23,0.0,0.0,0.0,0.0,13.2,11.44,0.0,11.26,0.0
burger_king,beverage,Dr. Pepper,823.98,ml,350,0.0,0.0,0.0,0.0,105.0,94.0,0.0,93.0,0.0,42.48,0.0,0.0,0.0,0.0,12.74,11.41,0.0,11.29,0.0
burger_king,beverage,Dr. Pepper,1079.7,ml,450,0.0,0.0,0.0,0.0,140.0,124.0,0.0,121.0,0.0,41.68,0.0,0.0,0.0,0.0,12.97,11.48,0.0,11.21,0.0
burger_king,beverage,Barq's Root Beer,454.61,ml,240,0.0,0.0,0.0,0.0,100.0,65.0,0.0,65.0,0.0,52.79,0.0,0.0,0.0,0.0,22.0,14.3,0.0,14.3,0.0
burger_king,beverage,Barq's Root Beer,568.26,ml,300,0.0,0.0,0.0,0.0,120.0,81.0,0.0,81.0,0.0,52.79,0.0,0.0,0.0,0.0,21.12,14.25,0.0,14.25,0.0
burger_king,beverage,Barq's Root Beer,823.98,ml,430,0.0,0.0,0.0,0.0,180.0,118.0,0.0,118.0,0.0,52.19,0.0,0.0,0.0,0.0,21.85,14.32,0.0,14.32,0.0
burger_king,beverage,Barq's Root Beer,1079.7,ml,570,0.0,0.0,0.0,0.0,230.0,155.0,0.0,155.0,0.0,52.79,0.0,0.0,0.0,0.0,21.3,14.36,0.0,14.36,0.0
burger_king,beverage,Cherry Coke,454.61,ml,220,0.0,0.0,0.0,0.0,55.0,61.0,0.0,61.0,0.0,48.39,0.0,0.0,0.0,0.0,12.1,13.42,0.0,13.42,0.0
