chain,category_clean,item_name,serve_size_new,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category,serving_size_g
McDondalds,burger,Premium McWrap Southwest Chicken (Grilled Chicken),318,g,520,20.0,6.0,0.0,80,1320,55,5,10,31,Chicken & Fish,11.2 oz (318 g)
McDondalds,burger,Premium McWrap Chicken Sweet Chili (Crispy Chicken),304,g,540,23.0,4.5,0.0,50,1260,61,3,14,23,Chicken & Fish,10.7 oz (304 g)
McDondalds,burger,Premium McWrap Chicken Sweet Chili (Grilled Chicken),291,g,380,10.0,3.0,0.0,65,1090,47,3,12,27,Chicken & Fish,10.3 oz (291 g)
McDondalds,sides,Chicken McNuggets (4 piece),65,g,190,12.0,2.0,0.0,25,360,12,1,0,9,Chicken & Fish,2.3 oz (65 g)
McDondalds,sides,Chicken McNuggets (6 piece),97,g,280,18.0,3.0,0.0,40,540,18,1,0,13,Chicken & Fish,3.4 oz (97 g)
McDondalds,sides,Chicken McNuggets (10 piece),162,g,470,30.0,5.0,0.0,65,900,30,2,0,22,Chicken & Fish,5.7 oz (162 g)
McDondalds,sides,Chicken McNuggets (20 piece),323,g,940,59.0,10.0,0.0,135,1800,59,3,0,44,Chicken & Fish,11.4 oz (323 g)
McDondalds,sides,Chicken McNuggets (40 piece),646,g,1880,118.0,20.0,1.0,265,3600,118,6,1,87,Chicken & Fish,22.8 oz (646 g)
McDondalds,burger,Filet-O-Fish,142,g,390,19.0,4.0,0.0,40,590,39,2,5,15,Chicken & Fish,5 oz (142 g)
McDondalds,salad,Premium Bacon Ranch Salad (without Chicken),223,g,140,7.0,3.5,0.0,25,300,10,3,4,9,Salads,7.9 oz (223 g)
McDondalds,salad,Premium Bacon Ranch Salad with Crispy Chicken,255,g,380,21.0,6.0,0.0,70,860,22,2,5,25,Salads,9 oz (255 g)
McDondalds,salad,Premium Bacon Ranch Salad with Grilled Chicken,241,g,220,8.0,4.0,0.0,85,690,8,2,4,29,Salads,8.5 oz (241 g)
McDondalds,salad,Premium Southwest Salad (without Chicken),230,g,140,4.5,2.0,0.0,10,150,20,6,6,6,Salads,8.1 oz (230 g)
McDondalds,salad,Premium Southwest Salad with Crispy Chicken,348,g,450,22.0,4.5,0.0,50,850,42,7,12,23,Salads,12.3 oz (348 g)
McDondalds,salad,Premium Southwest Salad with Grilled Chicken,335,g,290,8.0,2.5,0.0,70,680,28,7,10,27,Salads,11.8 oz (335 g)
McDondalds,wrap,Chipotle BBQ Snack Wrap (Crispy Chicken),130,g,340,15.0,4.5,0.0,30,780,37,1,8,14,Snacks & Sides,4.6 oz (130 g)
McDondalds,wrap,Chipotle BBQ Snack Wrap (Grilled Chicken),123,g,260,8.0,3.5,0.0,40,700,30,1,7,16,Snacks & Sides,4.3 oz (123 g)
McDondalds,wrap,Honey Mustard Snack Wrap (Crispy Chicken),123,g,330,15.0,4.5,0.0,35,730,34,1,3,14,Snacks & Sides,4.3 oz (123 g)
McDondalds,wrap,Honey Mustard Snack Wrap (Grilled Chicken),116,g,250,8.0,3.5,0.0,45,650,27,1,2,16,Snacks & Sides,4.1 oz (116 g)
McDondalds,wrap,Ranch Snack Wrap (Crispy Chicken),128,g,360,20.0,5.0,0.0,40,810,32,1,3,15,Snacks & Sides,4.5 oz (128 g)
McDondalds,wrap,Ranch Snack Wrap (Grilled Chicken),121,g,280,13.0,4.5,0.0,45,720,25,1,2,16,Snacks & Sides,4.3 oz (121 g)
McDondalds,sides,Small French Fries,75,g,230,11.0,1.5,0.0,0,130,30,2,0,2,Snacks & Sides,2.6 oz (75 g)
McDondalds,sides,Medium French Fries,111,g,340,16.0,2.5,0.0,0,190,44,4,0,4,Snacks & Sides,3.9 oz (111 g)
