chain,category_clean,item_name,serve_size,serve_size_unit,nutrition_indicator,value_per_serving
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,sodium_mg,1420
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,carbohydrates_g,31
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,dietary_fiber_g,1
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,sugars_g,5
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,protein_g,29
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,calories_kcal,580
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,total_fat_g,40
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,saturated_fat_g,16
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,trans_fat_g,"0,5"
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,cholesterol_mg,215
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,sodium_mg,1260
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,carbohydrates_g,31
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,dietary_fiber_g,1
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,sugars_g,5
burger_king,breakfast,Double CROISSAN'WICH® with Sausage & Bacon,"187,00",g,protein_g,23
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,calories_kcal,780
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,total_fat_g,42
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,saturated_fat_g,15
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,trans_fat_g,0
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,cholesterol_mg,355
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,sodium_mg,1960
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,carbohydrates_g,68
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,dietary_fiber_g,3
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,sugars_g,4
burger_king,breakfast,EGG-NORMOUS BURRITO™,"310,00",g,protein_g,32
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,calories_kcal,230
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,total_fat_g,11
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,saturated_fat_g,2
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,trans_fat_g,0
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,cholesterol_mg,0
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,sodium_mg,260
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,carbohydrates_g,29
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,dietary_fiber_g,1
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,sugars_g,8
burger_king,breakfast,French Toast Sticks (3 piece),"65,00",g,protein_g,3
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,calories_kcal,380
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,total_fat_g,18
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,saturated_fat_g,3
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,trans_fat_g,0
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,cholesterol_mg,0
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,sodium_mg,430
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,carbohydrates_g,49
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,dietary_fiber_g,2
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,sugars_g,13
burger_king,breakfast,French Toast Sticks (5 piece),"109,00",g,protein_g,5
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,calories_kcal,640
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,total_fat_g,45
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,saturated_fat_g,20
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,trans_fat_g,0
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,cholesterol_mg,225
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,sodium_mg,2190
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,carbohydrates_g,31
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,dietary_fiber_g,1
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,sugars_g,4
burger_king,breakfast,Fully Loaded Biscuit,"238,00",g,protein_g,28
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,calories_kcal,610
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,total_fat_g,40
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,saturated_fat_g,17
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,trans_fat_g,"0,5"
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,cholesterol_mg,225
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,sodium_mg,1680
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,carbohydrates_g,31
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,dietary_fiber_g,1
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,sugars_g,5
burger_king,breakfast,Fully Loaded CROISSAN'WICH®,"218,00",g,protein_g,28
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,calories_kcal,400
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,total_fat_g,24
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,saturated_fat_g,12
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,trans_fat_g,0
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,cholesterol_mg,175
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,sodium_mg,1550
