item_name;category;Serving Size (g);Calories;Calories from fat;Total fat (g);Saturated Fat (g);Trans Fat (g);Chol (mg);Sodium (mg);Total Carb (g);Dietary Fiber (g);Total Sugar (g);Protein (g);;
French Fries - medium (unsalted);SALADS & SIDES;153;380;140;16;2;0;0;360;58;6;1;4;;
French Fries - large (unsalted);SALADS & SIDES;173;430;160;18;2.5;0;0;410;66;7;2;5;;
Kids Oatmeal;KING JR™ MEALS;167;170;30;3;1.5;0;5;260;32;3;12;4;;
Chicken Nuggets- 4pc;KING JR™ MEALS;58;170;100;11;1.5;0;25;310;11;1;0;8;;
Chicken Nuggets- 6pc;KING JR™ MEALS;88;260;150;16;2.5;0;35;470;16;1;0;12;;
Hamburger;KING JR™ MEALS;99;240;90;10;3.5;0.5;35;380;26;1;6;13;;
Cheeseburger;KING JR™ MEALS;111;280;120;13;6;0.5;45;560;27;1;7;15;;
Mott's® Natural Applesauce;KING JR™ MEALS;111;50;0;0;0;0;0;0;13;1;11;0;;
PB&J Jamwich;KING JR™ MEALS;79;300;140;16;3;0;0;290;33;4;11;11;;
Soft Serve Cone;KING JR™ MEALS;120;190;40;4.5;3;0;20;150;32;0;24;5;;
Dutch Apple Pie;KING JR™ MEALS;107;340;130;14;6;0;0;310;51;1;25;3;;
HERSHEY®'S Sundae Pie;KING JR™ MEALS;79;310;170;19;12;0;10;220;32;1;22;3;;
Pie made with TWIX®;KING JR™ MEALS;102;370;180;20;13;0;10;330;45;1;30;4;;
OREO® Cookie Cheesecake;KING JR™ MEALS;92;350;170;18;8;0;35;310;41;1;25;6;;
Soft Serve Cone;KING JR™ MEALS;120;190;40;4.5;3;0;20;150;32;0;24;5;;
Soft Serve Cup;KING JR™ MEALS;115;170;40;4.5;3;0;20;150;28;0;24;5;;
HERSHEY®'s Chocolate Sundae;KING JR™ MEALS;149;260;45;5;3;0;20;160;49;1;43;5;;
Caramel Sundae;KING JR™ MEALS;137;240;50;5;3.5;0;20;210;42;0;33;5;;
Chocolate Chip Cookies (each);KING JR™ MEALS;38;160;70;8;4;0;10;125;24;1;15;2;;
CROISSAN'WICH® Egg & Cheese;BREAKFAST;125;340;170;18;8;0;160;610;29;1;4;12;;
CROISSAN'WICH® Sausage, Egg & Cheese;BREAKFAST;169;500;300;33;13;0;195;930;30;1;4;19;;
CROISSAN'WICH® Ham, Egg & Cheese;BREAKFAST;156;370;170;19;8;0;175;1030;30;1;5;17;;
CROISSAN'WICH® Bacon, Egg & Cheese;BREAKFAST;132;370;190;21;9;0;170;760;30;1;4;14;;
Fully Loaded CROISSAN'WICH®;BREAKFAST;218;610;360;40;17;0.5;225;1680;31;1;5;28;;
Double CROISSAN'WICH® with Sausage & Bacon;BREAKFAST;187;580;340;40;16;0.5;215;1260;31;1;5;23;;
Double CROISSAN'WICH® with Sausage;BREAKFAST;224;710;470;52;20;0.5;240;1420;31;1;5;29;;
Double CROISSAN'WICH® with Ham & Sausage;BREAKFAST;211;580;340;38;16;0.5;220;1530;31;1;5;27;;
Fully Loaded Biscuit;BREAKFAST;238;640;400;45;20;0;225;2190;31;1;4;28;;
Ham, Egg, & Cheese Biscuit;BREAKFAST;176;400;210;24;12;0;175;1550;29;1;3;17;;
Sausage, Egg, & Cheese Biscuit;BREAKFAST;189;530;340;38;17;0;195;1440;29;1;3;19;;
Bacon, Egg & Cheese Biscuit;BREAKFAST;152;400;230;26;13;0;170;1270;29;1;3;13;;
Sausage Biscuit;BREAKFAST;121;420;250;28;6;0;35;1050;28;1;2;12;;
Breakfast Burrito Jr.;BREAKFAST;143;370;210;23;8;0;150;930;27;3;2;15;;
EGG-NORMOUS BURRITO™;BREAKFAST;310;780;380;42;15;0;355;1960;68;3;4;32;;
BK™ Ultimate Breakfast Platter;BREAKFAST;390;930;390;44;11;0;390;2230;110;4;40;24;;
NY Ultimate Platter (Regional menu item);BREAKFAST;400;900;420;46;12;0;380;1760;95;5;31;25;;
Pancake and Sausage platter;BREAKFAST;217;610;280;31;9;0;80;1010;72;1;30;12;;
Hash Browns - small;BREAKFAST;84;250;150;16;3.5;0;0;580;24;3;0;2;;
Hash Browns - medium;BREAKFAST;169;500;290;33;7;0;0;1140;48;7;0;4;;
Hash Browns - large;BREAKFAST;225;670;390;44;9;0;0;1530;65;9;0;5;;
French Toast Sticks (3 piece);BREAKFAST;65;230;100;11;2;0;0;260;29;1;8;3;;
French Toast Sticks (5 piece);BREAKFAST;109;380;160;18;3;0;0;430;49;2;13;5;;
American Cheese (slice);BREAKFAST;11;40;30;3.5;2;0;10;180;1;0;0;2;;
Ketchup (Packet);BREAKFAST;10;10;0;0;0;0;0;125;3;0;2;0;;
Mayonnaise (Packet);BREAKFAST;12;80;80;9;0.5;0;10;75;1;0;0;0;;
Strawberry or Grape Jam (packet);BREAKFAST;12;30;0;0;0;0;0;0;7;0;6;0;;
Breakfast Syrup (1 oz);BREAKFAST;41;120;0;0;0;0;0;15;30;0;18;0;;
Barbecue Dipping Sauce (1 oz);BREAKFAST;28;40;0;0;0;0;0;310;11;0;10;0;;
Ranch Dipping Sauce (1 oz);BREAKFAST;28;140;140;15;2.5;0;10;85;1;0;1;1;;
Buffalo Dipping Sauce (1 oz);BREAKFAST;28;80;70;8;1.5;0;5;360;2;0;1;0;;
Zesty Onion Ring Dipping Sauce (1 oz);BREAKFAST;28;150;140;15;2.5;0;20;240;3;0;0;0;;
Honey Mustard Dipping Sauce (1oz);BREAKFAST;28;90;60;6;1;0;10;180;8;0;7;0;;
Fat FREE Milk (8 fl oz);BEVERAGES;8 fl oz;90;0;0;0;0;5;125;13;0;12;9;;
1% Low Fat Chocolate Milk (8 fl oz);BEVERAGES;8 fl oz;160;25;2.5;1.5;0;15;150;26;0;25;8;;
Smoothie: Strawberry Banana 16 fl oz;BEVERAGES;16 fl oz;310;10;1;0;0;0;55;71;3;50;4;;
Oreo® Shake;BEVERAGES;12 fl oz;720;180;20;12;0.5;65;540;118;1;98;16;;
Chocolate Oreo® Shake;BEVERAGES;12 fl oz;740;190;22;13;0.5;70;680;121;1;101;17;;
Vanilla Milk Shake;BEVERAGES;12 fl oz;580;140;15;10;0;60;420;98;0;85;14;;
HERSHEY®'S Chocolate Milk Shake;BEVERAGES;12 fl oz;610;140;16;10;0;60;500;103;1;88;14;;
Strawberry Milk Shake;BEVERAGES;12 fl oz;640;140;15;10;0;60;440;113;0;99;14;;
Coca Cola classic;BEVERAGES;16 fl oz;210;0;0;0;0;0;50;58;0;58;0;;
Coca Cola classic;BEVERAGES;20 fl oz;270;0;0;0;0;0;60;73;0;73;0;;
Coca Cola classic;BEVERAGES;29 fl oz;390;0;0;0;0;0;85;105;0;105;0;;
Coca Cola classic;BEVERAGES;38 fl oz;510;0;0;0;0;0;115;138;0;138;0;;
Diet Coke;BEVERAGES;16 fl oz;0;0;0;0;0;70;0;0;0;0;0;;
Diet Coke;BEVERAGES;20 fl oz;0;0;0;0;0;85;0;0;0;0;0;;
Diet Coke;BEVERAGES;29 fl oz;0;0;0;0;0;120;0;0;0;0;0;;
Diet Coke;BEVERAGES;38 fl oz;0;0;0;0;0;160;0;0;0;0;0;;
Sprite;BEVERAGES;16 fl oz;210;0;0;0;0;0;95;56;0;56;0;;
Sprite;BEVERAGES;20 fl oz;260;0;0;0;0;0;120;70;0;70;0;;
Sprite;BEVERAGES;29 fl oz;380;0;0;0;0;0;170;102;0;102;0;;
Sprite;BEVERAGES;38 fl oz;500;0;0;0;0;0;230;133;0;133;0;;
Dr. Pepper;BEVERAGES;16 fl oz;190;0;0;0;0;0;60;52;0;51;0;;
Dr. Pepper;BEVERAGES;20 fl oz;240;0;0;0;0;0;75;65;0;64;0;;
Dr. Pepper;BEVERAGES;29 fl oz;350;0;0;0;0;0;105;94;0;93;0;;
Dr. Pepper;BEVERAGES;38 fl oz;450;0;0;0;0;0;140;124;0;121;0;;
Barq's Root Beer;BEVERAGES;16 fl oz;240;0;0;0;0;0;100;65;0;65;0;;
Barq's Root Beer;BEVERAGES;20 fl oz;300;0;0;0;0;0;120;81;0;81;0;;
Barq's Root Beer;BEVERAGES;29 fl oz;430;0;0;0;0;0;180;118;0;118;0;;
Barq's Root Beer;BEVERAGES;38 fl oz;570;0;0;0;0;0;230;155;0;155;0;;
Cherry Coke;BEVERAGES;16 fl oz;220;0;0;0;0;0;55;61;0;61;0;;
Cherry Coke;BEVERAGES;20 fl oz;280;0;0;0;0;0;70;76;0;76;0;;
Cherry Coke;BEVERAGES;29 fl oz;410;0;0;0;0;0;100;110;0;110;0;;
Cherry Coke;BEVERAGES;38 fl oz;530;0;0;0;0;0;130;145;0;145;0;;
Fanta Orange;BEVERAGES;16 fl oz;230;0;0;0;0;0;60;62;0;61;0;;
Fanta Orange;BEVERAGES;20 fl oz;280;0;0;0;0;0;70;78;0;77;0;;
Fanta Orange;BEVERAGES;29 fl oz;410;0;0;0;0;0;105;113;0;111;0;;
Fanta Orange;BEVERAGES;38 fl oz;540;0;0;0;0;0;135;148;0;146;0;;
Hi-C Fruit Punch;BEVERAGES;16 fl oz;220;0;0;0;0;0;75;62;0;60;0;;
Hi-C Fruit Punch;BEVERAGES;20 fl oz;280;0;0;0;0;0;95;77;0;75;0;;
Hi-C Fruit Punch;BEVERAGES;29 fl oz;410;0;0;0;0;0;135;111;0;109;0;;
Hi-C Fruit Punch;BEVERAGES;38 fl oz;530;0;0;0;0;0;180;146;0;143;0;;
Minute Maid Light Lemonade;BEVERAGES;16 fl oz;10;0;0;0;0;0;60;3;0;0;0;;
Minute Maid Light Lemonade;BEVERAGES;20 fl oz;10;0;0;0;0;0;70;4;0;0;0;;
Minute Maid Light Lemonade;BEVERAGES;29 fl oz;15;0;0;0;0;0;105;5;0;0;0;;
Minute Maid Light Lemonade;BEVERAGES;38 fl oz;20;0;0;0;0;0;135;7;0;0;0;;
Sweet Tea;BEVERAGES;20 fl oz;120;0;0;0;0;0;0;35;0;35;0;;
Sweet Tea;BEVERAGES;29 fl oz;160;0;0;0;0;0;0;49;0;49;0;;
Sweet Tea;BEVERAGES;40 fl oz;240;0;0;0;0;0;0;71;0;71;0;;
Unsweetened Tea;BEVERAGES;20 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
Unsweetened Tea;BEVERAGES;29 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
Unsweetened Tea;BEVERAGES;40 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
Capri Sun 100% Apple Juice;BEVERAGES;1 pouch;80;0;0;0;0;0;25;20;0;20;0;;
Minute Maid Orange Juice;BEVERAGES;10 fl oz;140;0;0;0;0;0;20;33;0;30;2;;
Frozen Coke - 16 oz;BEVERAGES;16 fl oz;130;0;0;0;0;0;50;35;0;35;0;;
BK® Café Coffee- 12 fl oz;BEVERAGES;12 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
BK® Café Coffee- 16 fl oz;BEVERAGES;16 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
BK® Café Coffee- 20 fl oz;BEVERAGES;20 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
BK® Café Decaf Coffee- 12 fl oz;BEVERAGES;12 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
BK® Café Decaf Coffee- 16 fl oz;BEVERAGES;16 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
BK® Café Decaf Coffee- 20 fl oz;BEVERAGES;20 fl oz;0;0;0;0;0;0;0;0;0;0;0;;
BK® Café Iced Vanilla Coffee- 12 fl oz;BEVERAGES;12 fl oz;150;70;8;4;0;25;30;21;0;21;1;;
BK® Café Iced Vanilla Coffee- 16 fl oz;BEVERAGES;16 fl oz;200;90;10;5;0;30;40;27;0;27;2;;
BK® Café Iced Vanilla Coffee- 20 fl oz;BEVERAGES;20 fl oz;260;110;13;7;0;40;50;34;0;34;2;;
BK® Café Iced Mocha Coffee- 12 fl oz;BEVERAGES;12 fl oz;180;70;8;4;0;25;40;27;1;25;2;;
BK® Café Iced Mocha Coffee- 16 fl oz;BEVERAGES;16 fl oz;240;90;10;6;0;30;55;35;1;32;2;;
BK® Café Iced Mocha Coffee- 20 fl oz;BEVERAGES;20 fl oz;300;120;13;7;0;40;70;45;2;41;3;;
BK® Café Mocha Frappe- 12 fl oz;BEVERAGES;12 fl oz;300;80;8;5;0;30;200;50;1;41;7;;
BK® Café Mocha Frappe- 16 fl oz;BEVERAGES;16 fl oz;400;90;10;7;0;40;270;68;1;58;9;;
BK® Café Mocha Frappe- 20 fl oz;BEVERAGES;20 fl oz;510;110;13;8;0;50;350;87;1;71;12;;
BK® Café Caramel Frappe- 12 fl oz;BEVERAGES;12 fl oz;300;80;8;5;0;35;210;50;0;41;7;;
BK® Café Caramel Frappe- 16 fl oz;BEVERAGES;16 fl oz;400;90;10;7;0;40;280;68;0;56;9;;
BK® Café Caramel Frappe- 20 fl oz;BEVERAGES;20 fl oz;500;110;12;8;0;50;350;86;0;71;11;;
